omrade;fylke_sone;fysone_name;a_fy_agri_km2;a_fy_eng_km2
øst1;1_1;Østfold_Ytre/Oslofjorden;384.366;57.655
øst2;1_2;Østfold_Midtre/Glomma;314.39;50.302
øst3;1_3;Østfold_Indre/Haldenvas;63.16;10.737
ake1;2_1;Akershus,Øyern;475.262;80.795
ake2;2_2;Akershus,Oslofj.;222.082;46.637
ake3;2_3;Akershus,Haldenvass.;97.05;11.646
osl1;3_1;Oslo;222.08;46.64
hed1;4_1;Hedemark,Mjøsa;372.067;111.62
hed2;4_2;Hedemark,Glommasør;395.312;55.344
hed3;4_3;Hedemark,Glommanord;228.809;192.2
hed4;4_4;Hedemark,Sverige;73.539;41.182
opp1;5_1;Oppland,Mjøsa;371.809;208.213
opp2;5_2;Oppland,Lågen;313.292;269.431
opp3;5_3;Oppland,Randsfjorden;198.699;99.35
opp4;5_4;Oppland,Begna;135.438;125.957
bus1;6_1;Buskerud,Numedalslågen;76.115;42.624
bus2;6_2;Buskerud,Krødern;117.847;106.062
bus3;6_3;Buskerud,Drammensfjorden;224.454;69.581
bus4;6_4;Buskerud,Tyrifjorden;95.389;16.216
ves1;7_1;Vestfold;428.786;98.621
tel1;8_1;Telemark,Ytrestrøk;59.701;28.656
tel2;8_2;Telemark,Midtre/Nordsjø;95.877;88.207
tel3;8_3;Telemark,Indrestrøk;99.634;35.868
aag1;9_1;Aust-Agder,Ytrestrøk;51.706;39.814
aag2;9_2;Aust-Agder,Indrestrøk;66.707;61.37
vag1;10_1;Vest-Agder,Ytrestrøk;104.701;94.231
vag2;10_2;YtrestrøkIndrestrøk;94.604;92.712
rog1;11_1;Rogaland,Jæren;470.467;235.234
rog2;11_2;Rogaland,Ryfylke/Boknafj;359.56;183.376
rog3;11_3;Rogaland,Sør/indrestrøk;130.157;54.666
hor1;12_1;Hordaland,Lavland;259.036;170.964
hor2;12_2;Hordaland,Høyland;205.919;148.262
sfj1;14_1;SognogFjord.,Lavland;175.856;119.582
sfj2;14_2;SognogFjord.Høyland;296.384;216.36
mro1;15_1;MøreogRomsdal,Lavland;348.208;295.977
mro2;15_2;MøreogRomsdal,Høyland;263.014;202.521
str1;16_1;Sør-Trøndelag,Lavland;408.029;265.219
str2;16_2;Sør-Trøndelag,Høyland;344.882;244.866
ntr1;17_1;Nord-Trøndelag,Lavland;628.7;333.211
ntr2;17_2;Sør-Trøndelag,Høyland;245.048;149.479
nor1;18_1;Nordland;570.974;468.199
tro1;19_1;Troms;266.92;224.213
fim1;20_1;Finmark;102.928;83.372
