ospar_region,year,as_div_2019,cd_div_2019,cr_div_2019,cu_div_2019,hg_div_2019,ni_div_2019,pb_div_2019,zn_div_2019
Lofoten-Barents Sea,1990,3.18,8.53,4.44,0.54,1.83,0.36,9.82,2.17
Lofoten-Barents Sea,1991,3.18,3.49,4.44,0.53,1.84,0.36,9.29,1.85
Lofoten-Barents Sea,1992,3.18,3.49,4.44,0.55,1.84,0.36,1.53,0.75
Lofoten-Barents Sea,1993,3.18,3.49,4.7,0.33,1.52,0.43,1.53,0.75
Lofoten-Barents Sea,1994,2.01,3.03,4.7,0.33,1.52,0.43,1.8,0.75
Lofoten-Barents Sea,1995,2.01,3.03,3.88,0.33,1.57,0.39,5.82,0.78
Lofoten-Barents Sea,1996,2.98,1.9,2.76,0.52,1.57,0.34,3.27,1.31
Lofoten-Barents Sea,1997,2.98,1.9,2.76,0.52,1.45,0.39,3.27,1.43
Lofoten-Barents Sea,1998,1.71,1.64,2.76,0.4,1.01,0.3,1.91,1.43
Lofoten-Barents Sea,1999,1.12,0.45,2.01,0.33,1.01,0.3,0.73,0.35
Lofoten-Barents Sea,2000,0.84,0.45,2.01,0.27,1.1,0.27,0.73,0.35
Lofoten-Barents Sea,2001,0.84,1.74,2.25,0.27,1.18,0.27,0.93,0.96
Lofoten-Barents Sea,2002,0.89,1.74,2.25,0.27,1.27,0.29,1.07,0.96
Lofoten-Barents Sea,2003,0.93,1.81,1.42,0.27,1.35,0.33,1.5,0.96
Lofoten-Barents Sea,2004,1.05,1.77,1.15,0.59,1.37,0.5,1.5,0.79
Lofoten-Barents Sea,2005,1.05,1.77,1.03,0.59,1.37,0.81,1.5,0.79
Lofoten-Barents Sea,2006,0.97,1.24,1.03,0.59,0.97,0.63,1.47,0.79
Lofoten-Barents Sea,2007,0.89,1.08,1.27,0.42,0.97,0.63,1.07,1.76
Lofoten-Barents Sea,2008,0.97,1.08,1.27,0.51,1.12,0.35,1.47,1.85
Lofoten-Barents Sea,2009,1.31,1.16,1.27,0.51,1.12,0.35,2.24,2.07
Lofoten-Barents Sea,2010,1.31,1.51,1.47,0.57,1.12,0.53,3.5,2.07
Lofoten-Barents Sea,2011,1.04,1.51,1.47,0.57,1.01,0.53,3.5,1.8
Lofoten-Barents Sea,2012,1.04,1.14,1.4,0.57,1.1,0.37,1.84,1.77
Lofoten-Barents Sea,2013,0.93,1.02,1.38,0.43,1.01,0.35,1.47,0.94
Lofoten-Barents Sea,2014,1.27,0.96,1.38,0.64,0.96,0.37,1.76,0.89
Lofoten-Barents Sea,2015,0.88,0.84,0.99,0.44,0.96,0.85,0.86,0.84
Lofoten-Barents Sea,2016,0.93,0.78,0.86,0.51,0.96,0.85,0.69,0.86
Lofoten-Barents Sea,2017,0.93,0.78,0.86,0.51,0.97,1.07,0.69,0.86
Lofoten-Barents Sea,2018,0.93,0.78,0.95,0.62,0.97,0.92,0.85,0.94
Lofoten-Barents Sea,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
North Sea,1990,1.05,9.09,6.26,1.93,1.77,2.79,3.81,2.24
